Package_Names,City_Names,Duration,Hotel_Types,Original_Prices,Discounted_Prices,Discount_Amount,Ratings,Reviews,State
Most Reasonable Goa Honeymoon Tour Packages,Goa,5,3 Star,"9,142","7,999",1143,4.2,714,Goa
Fantastic Andaman Honeymoon Package,Port Blair,5,3 Star,"18,811","15,599",3212,4.1,2708,Andaman and Nicobar Islands
Romantic Mussoorie Tour Package From Delhi,Mussoorie,3,3 Star,"12,000","10,500",1500,4.1,1319,Uttarakhand
Coorg Package For 2 Nights And 3 Days,Coorg,3,3 Star,"15,934","14,500",1434,4.2,5477,Karnataka
Best 4N 5D Andaman Sightseeing Tour Package For A Refreshing Getaway,Port Blair,5,3 Star,"36,484","33,200",3284,NaN,212,Andaman and Nicobar Islands
Mesmerising Manali Trip Package From Chandigarh,Manali,3,3 Star,"10,440","9,500",940,4.1,376,Himachal Pradesh
Hills & Houseboat: Munnar and Alleppey Honeymoon Package,Munnar,6,3 Star,"24,444","22,000",2444,4.1,4760,Kerala
Top Family Holiday Packages in Goa for an Ideal Family Vacation,Calangute,5,3 Star,"10,868","9,999",869,4.1,5660,Goa
Most Affordable 1 Night 2 Days Uttarakhand Tour Packages From Delhi,Rishikesh,2,3 Star,"3,360","2,800",560,4.2,482,Uttarakhand
Top 4 Nights 5 Days Best-Selling Sikkim Gangtok Darjeeling Tour Package,Gangtok,5,3 Star,"26,258","22,000",4258,4.1,2336,Sikkim
Best 5 Night 6 Day Leh Ladakh Tour Package For A Fun Filled Vacay,Leh,6,3 Star,"28,110","21,999",6111,4.2,8570,Ladakh
Postcard-Perfect Sikkim Gangtok Lachung Honeymoon Packages,Gangtok,5,3 Star,"24,000","22,000",2000,4.5,49,Sikkim
Best Selling Kerala Houseboat & Jungle Safari Tour Package,Munnar,5,3 Star,"24,604","20,048",4556,4.1,2708,Kerala
Go on an excursion to Shillong to witness the best of natural attraction,Kaziranga,6,2 Star,"28,160","24,499",3661,4.2,5477,Assam
Top 5 Nights 6 Days Kerala Family Tour Packages For A Refreshing Getaway,Munnar,6,3 Star,"29,674","24,279",5395,4.3,2308,Kerala
Exciting Goa Tour Packages For A Perfect Getaway,Goa,3,3 Star,"15,615","14,500",1115,4.1,2491,Goa
Discover Our Beautiful 4 Nights 5 Days Andaman Family Tour Packages,Port Blair,5,3 Star,"23,574","18,990",4584,4.2,1313,Andaman and Nicobar Islands
4 Nights 5 Days Sikkim Family Tour Package,Gangtok,5,2 Star,"26,400","22,000",4400,4.3,2308,Sikkim
Best Selling Shimla Honeymoon Tour Packages For A Wonderful Vacation,Shimla,3,2 Star,"10,543","9,000",1543,4.3,8633,Himachal Pradesh
Jammu Kashmir Family Package,Katra,7,2 Star,"26,910","24,999",1911,4.1,797,Jammu and Kashmir
Udaipur: More Than The Just âThe City Of Lakesâ,Udaipur,3,2 Star,"7,539","6,499",1040,NaN,139,Rajasthan
An Amazingly Romantic Honeymoon,Coorg,7,4 Star,"28,727","26,142",2585,4.1,4760,Karnataka
Idyllic Kerala Houseboat & Hills Family Package,Munnar,7,3 Star,"30,249","25,460",4789,4.1,2708,Kerala
Adventurous Family Holiday In Coorg,Coorg,4,3 Star,"16,942","15,417",1525,4.2,5129,Karnataka
Best 3N 4D Ooty Honeymoon Tour Package For A Romantic Getaway,Ooty,4,3 Star,"18,827","16,944",1883,4.2,573,Tamil Nadu
Charming Kashmir Honeymoon Tour Package,Srinagar,6,3 Star,"26,136","23,000",3136,4.1,2491,Jammu and Kashmir
Vibrant Kochi Munnar Honeymoon Tour Package,Cochin,4,3 Star,"16,190","14,571",1619,NaN,1459,Kerala
Pleasurable Meghalaya Honeymoon Package,Guwahati,7,3 Star,"41,208","37,499",3709,4.1,1538,Assam
Lovely Ladakh Family Package,Leh,5,2 Star,"21,504","19,999",1505,4.2,8570,Ladakh
Colorful Rajasthan Family Package,Jaipur,9,3 Star,"76,404","68,000",8404,4.1,3697,Rajasthan
Best Selling Leh-Ladakh Honeymoon Tour Package,Leh,6,3 Star,"35,367","27,999",7368,4.2,3681,Ladakh
